[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\html\entities.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1610565318.4613307
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\checks\database.py first seen with mtime 1610565317.1855357
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1610565317.193532
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1610565317.521608
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\xml\etree\__init__.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1610565317.1615498
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\wsgiref\headers.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\PIL\TiffTags.py first seen with mtime 1612454126.387944
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\_sitebuiltins.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\distutils\errors.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\configparser.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\migrations\operations\utils.py first seen with mtime 1610565317.7146952
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\numbers.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django_summernote\widgets.py first seen with mtime 1628072297.585648
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\sqlparse\cli.py first seen with mtime 1610565296.492409
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1610565317.835625
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\template\smartif.py first seen with mtime 1610565318.211438
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\concurrent\futures\_base.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\urls\utils.py first seen with mtime 1610565318.2753973
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\shlex.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\asyncio\__init__.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\asyncio\queues.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1610565317.2166278
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\sqlparse\utils.py first seen with mtime 1610565296.5084045
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1610565305.0228512
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\models\utils.py first seen with mtime 1610565317.794649
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\http\request.py first seen with mtime 1610565318.103496
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\keyword.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\difflib.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1610565318.2154334
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\test\client.py first seen with mtime 1610565318.2514126
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1610565318.338405
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\jinja2\utils.py first seen with mtime 1618820259.883307
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\xml\etree\ElementPath.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1610565317.0725782
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1610565296.5104032
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\jinja2\tests.py first seen with mtime 1618820259.87862
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1610565317.1915326
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\conf\__init__.py first seen with mtime 1610565300.4373913
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\views\debug.py first seen with mtime 1610565318.4273531
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\reprlib.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\calendar.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1610565317.5877662
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1612454126.3319504
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\ctypes\wintypes.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1610565317.8636084
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1610565317.0575864
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\cffi\error.py first seen with mtime 1626350172.6593182
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1610565317.5165937
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\DLLs\_lzma.pyd first seen with mtime 1594687982.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1610565317.8076413
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\utils\decorators.py first seen with mtime 1610565318.3464005
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\urllib\request.py first seen with mtime 1594687962.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\PIL\_imaging.cp38-win_amd64.pyd first seen with mtime 1612454126.42794
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\asyncio\log.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1610565317.4524922
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\email\mime\nonmultipart.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\AppData\Local\Programs\Python\Python38\Lib\asyncio\events.py first seen with mtime 1594687960.0
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\db\__init__.py first seen with mtime 1610565317.4534917
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1610565312.4688845
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1610565305.040841
[08/Aug/2021 22:24:15] DEBUG [django.utils.autoreload:368] File C:\Users\deefo\Envs\test\Lib\site-packages\jinja2\visitor.py first seen with mtime 1618820259.8863037
